epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1747090562356,2025-05-12T22:56:02.356000,8.356,0.5,-0.35,-0.01
1747090562372,2025-05-12T22:56:02.372000,8.372,0.3,-0.24,-0.11
1747090562389,2025-05-12T22:56:02.389000,8.389,0.02,-0.05,-0.21
1747090562406,2025-05-12T22:56:02.406000,8.406,-0.17,0.1,-0.26
1747090562422,2025-05-12T22:56:02.422000,8.422,-0.18,0.22,-0.25
1747090562439,2025-05-12T22:56:02.439000,8.439,-0.13,0.13,-0.24
1747090562455,2025-05-12T22:56:02.455000,8.455,-0.12,-0.18,-0.25
1747090562472,2025-05-12T22:56:02.472000,8.472,-0.04,-0.37,-0.26
1747090562489,2025-05-12T22:56:02.489000,8.489,-0.02,-0.1,-0.2
1747090562506,2025-05-12T22:56:02.506000,8.506,-0.11,0.28,-0.14
1747090562522,2025-05-12T22:56:02.522000,8.522,-0.15,0.19,-0.11
1747090562539,2025-05-12T22:56:02.539000,8.539,-0.12,-0.13,-0.13
1747090562556,2025-05-12T22:56:02.556000,8.556,-0.23,0.06,-0.14
1747090562589,2025-05-12T22:56:02.589000,8.589,-0.25,0.17,-0.07
1747090562606,2025-05-12T22:56:02.606000,8.606,-0.25,-0.02,-0.22
1747090562622,2025-05-12T22:56:02.622000,8.622,-0.19,0.04,-0.22
1747090562656,2025-05-12T22:56:02.656000,8.656,0.02,-0.08,-0.08
1747090562672,2025-05-12T22:56:02.672000,8.672,0.07,-0.02,-0.21
1747090562689,2025-05-12T22:56:02.689000,8.689,0.0,0.06,-0.25
1747090562706,2025-05-12T22:56:02.706000,8.706,-0.01,0.06,-0.15
1747090562722,2025-05-12T22:56:02.722000,8.722,0.01,-0.08,-0.01
1747090562739,2025-05-12T22:56:02.739000,8.739,0.1,-0.28,0.04
1747090562756,2025-05-12T22:56:02.756000,8.756,0.17,-0.31,0.05
1747090562771,2025-05-12T22:56:02.771000,8.771,0.08,-0.14,0.03
1747090562788,2025-05-12T22:56:02.788000,8.788,-0.08,0.05,0.01
1747090562806,2025-05-12T22:56:02.806000,8.806,-0.23,0.18,-0.03
1747090562822,2025-05-12T22:56:02.822000,8.822,-0.29,0.22,-0.07
1747090562839,2025-05-12T22:56:02.839000,8.839,-0.21,0.22,-0.01
1747090562856,2025-05-12T22:56:02.856000,8.856,-0.17,0.26,0.06
1747090562872,2025-05-12T22:56:02.872000,8.872,-0.25,0.3,0.12
1747090562889,2025-05-12T22:56:02.889000,8.889,-0.36,0.26,0.2
1747090562906,2025-05-12T22:56:02.906000,8.906,-0.42,0.15,0.22
1747090562922,2025-05-12T22:56:02.922000,8.922,-0.39,-0.01,0.23
1747090562939,2025-05-12T22:56:02.939000,8.939,-0.31,-0.11,0.24
1747090562955,2025-05-12T22:56:02.955000,8.955,-0.25,-0.13,0.21
1747090562972,2025-05-12T22:56:02.972000,8.972,-0.21,-0.15,0.16
1747090562989,2025-05-12T22:56:02.989000,8.989,-0.11,-0.27,0.09
1747090563006,2025-05-12T22:56:03.006000,9.006,-0.01,-0.37,0.05
1747090563022,2025-05-12T22:56:03.022000,9.022,-0.02,-0.31,0.04
1747090563039,2025-05-12T22:56:03.039000,9.039,-0.02,-0.04,0.04
1747090563056,2025-05-12T22:56:03.056000,9.056,0.01,0.11,0.05
1747090563072,2025-05-12T22:56:03.072000,9.072,-0.01,0.13,0.02
1747090563089,2025-05-12T22:56:03.089000,9.089,0.08,0.08,-0.03
1747090563105,2025-05-12T22:56:03.105000,9.105,0.17,-0.01,0.01
1747090563122,2025-05-12T22:56:03.122000,9.122,0.09,-0.18,0.05
1747090563139,2025-05-12T22:56:03.139000,9.139,0.09,-0.25,0.17
1747090563172,2025-05-12T22:56:03.172000,9.172,0.21,-0.17,0.16
1747090563189,2025-05-12T22:56:03.189000,9.189,0.15,-0.22,0.14
1747090563206,2025-05-12T22:56:03.206000,9.206,0.02,-0.28,0.19
1747090563222,2025-05-12T22:56:03.222000,9.222,0.01,-0.14,0.14
1747090563239,2025-05-12T22:56:03.239000,9.239,0.08,0.17,-0.03
1747090563256,2025-05-12T22:56:03.256000,9.256,-0.01,0.39,-0.12
1747090563272,2025-05-12T22:56:03.272000,9.272,-0.2,0.51,-0.06
1747090563289,2025-05-12T22:56:03.289000,9.289,-0.29,0.74,0.11
1747090563306,2025-05-12T22:56:03.306000,9.306,-0.22,0.89,0.13
1747090563322,2025-05-12T22:56:03.322000,9.322,-0.11,0.91,0.06
1747090563339,2025-05-12T22:56:03.339000,9.339,-0.09,0.74,0.07
1747090563351,2025-05-12T22:56:03.351000,9.351,-0.06,0.51,0.11
1747090563356,2025-05-12T22:56:03.356000,9.356,-0.06,0.51,0.11
1747090563366,2025-05-12T22:56:03.366000,9.366,0.04,0.32,0.13
1747090563372,2025-05-12T22:56:03.372000,9.372,0.04,0.32,0.13
1747090563381,2025-05-12T22:56:03.381000,9.381,0.14,0.19,0.19
1747090563389,2025-05-12T22:56:03.389000,9.389,0.14,0.19,0.19
1747090563396,2025-05-12T22:56:03.396000,9.396,0.25,0.02,0.28
1747090563406,2025-05-12T22:56:03.406000,9.406,0.25,0.02,0.28
1747090563416,2025-05-12T22:56:03.416000,9.416,0.44,-0.08,0.35
1747090563422,2025-05-12T22:56:03.422000,9.422,0.44,-0.08,0.35
1747090563431,2025-05-12T22:56:03.431000,9.431,0.61,-0.17,0.37
1747090563439,2025-05-12T22:56:03.439000,9.439,0.61,-0.17,0.37
1747090563446,2025-05-12T22:56:03.446000,9.446,0.68,-0.2,0.31
1747090563456,2025-05-12T22:56:03.456000,9.456,0.68,-0.2,0.31
1747090563461,2025-05-12T22:56:03.461000,9.461,0.64,-0.23,0.21
1747090563472,2025-05-12T22:56:03.472000,9.472,0.64,-0.23,0.21
1747090563481,2025-05-12T22:56:03.481000,9.481,0.53,-0.22,0.11
1747090563489,2025-05-12T22:56:03.489000,9.489,0.53,-0.22,0.11
1747090563496,2025-05-12T22:56:03.496000,9.496,0.39,-0.06,0.05
1747090563506,2025-05-12T22:56:03.506000,9.506,0.39,-0.06,0.05
1747090563510,2025-05-12T22:56:03.510000,9.51,0.25,0.11,0.1
1747090563522,2025-05-12T22:56:03.522000,9.522,0.25,0.11,0.1
1747090563525,2025-05-12T22:56:03.525000,9.525,0.15,0.07,0.23
1747090563539,2025-05-12T22:56:03.539000,9.539,0.15,0.07,0.23
1747090563545,2025-05-12T22:56:03.545000,9.545,0.29,-0.44,0.39
1747090563556,2025-05-12T22:56:03.556000,9.556,0.29,-0.44,0.39
1747090563560,2025-05-12T22:56:03.560000,9.56,0.6,-1.3,0.4
1747090563572,2025-05-12T22:56:03.572000,9.572,0.6,-1.3,0.4
1747090563575,2025-05-12T22:56:03.575000,9.575,0.78,-2.49,0.26
1747090563589,2025-05-12T22:56:03.589000,9.589,0.78,-2.49,0.26
1747090563590,2025-05-12T22:56:03.590000,9.59,0.7,-2.63,0.13
1747090563606,2025-05-12T22:56:03.606000,9.606,0.7,-2.63,0.13
1747090563610,2025-05-12T22:56:03.610000,9.61,0.33,-1.48,0.28
1747090563622,2025-05-12T22:56:03.622000,9.622,0.33,-1.48,0.28
1747090563625,2025-05-12T22:56:03.625000,9.625,0.25,-0.35,0.6
1747090563639,2025-05-12T22:56:03.639000,9.639,0.25,-0.35,0.6
1747090563640,2025-05-12T22:56:03.640000,9.64,0.5,-0.23,0.9
1747090563655,2025-05-12T22:56:03.655000,9.655,0.61,-0.52,0.77
1747090563656,2025-05-12T22:56:03.656000,9.656,0.61,-0.52,0.77
1747090563675,2025-05-12T22:56:03.675000,9.675,0.67,-0.39,0.71
1747090563689,2025-05-12T22:56:03.689000,9.689,0.67,-0.39,0.71
1747090563689,2025-05-12T22:56:03.689000,9.689,0.84,-1.0,0.57
1747090563704,2025-05-12T22:56:03.704000,9.704,1.05,-0.72,0.46
1747090563706,2025-05-12T22:56:03.706000,9.706,1.05,-0.72,0.46
1747090563720,2025-05-12T22:56:03.720000,9.72,1.15,-0.11,0.61
1747090563722,2025-05-12T22:56:03.722000,9.722,1.15,-0.11,0.61
1747090563739,2025-05-12T22:56:03.739000,9.739,1.2,0.03,0.8
1747090563754,2025-05-12T22:56:03.754000,9.754,1.01,-0.17,0.84
1747090563756,2025-05-12T22:56:03.756000,9.756,1.01,-0.17,0.84
1747090563769,2025-05-12T22:56:03.769000,9.769,0.74,-0.77,0.75
1747090563772,2025-05-12T22:56:03.772000,9.772,0.74,-0.77,0.75
1747090563784,2025-05-12T22:56:03.784000,9.784,0.71,-0.96,0.53
1747090563789,2025-05-12T22:56:03.789000,9.789,0.71,-0.96,0.53
1747090563804,2025-05-12T22:56:03.804000,9.804,0.87,-0.85,0.29
1747090563806,2025-05-12T22:56:03.806000,9.806,0.87,-0.85,0.29
1747090563819,2025-05-12T22:56:03.819000,9.819,1.11,-0.87,-0.01
1747090563822,2025-05-12T22:56:03.822000,9.822,1.11,-0.87,-0.01
1747090563834,2025-05-12T22:56:03.834000,9.834,1.27,-1.0,-0.24
1747090563839,2025-05-12T22:56:03.839000,9.839,1.27,-1.0,-0.24
1747090563849,2025-05-12T22:56:03.849000,9.849,1.21,-1.36,-0.48
1747090563856,2025-05-12T22:56:03.856000,9.856,1.21,-1.36,-0.48
1747090563869,2025-05-12T22:56:03.869000,9.869,1.06,-1.46,-0.65
1747090563872,2025-05-12T22:56:03.872000,9.872,1.06,-1.46,-0.65
1747090563883,2025-05-12T22:56:03.883000,9.883,1.0,-1.41,-0.74
1747090563889,2025-05-12T22:56:03.889000,9.889,1.0,-1.41,-0.74
1747090563899,2025-05-12T22:56:03.899000,9.899,1.08,-0.84,-0.66
1747090563906,2025-05-12T22:56:03.906000,9.906,1.08,-0.84,-0.66
1747090563914,2025-05-12T22:56:03.914000,9.914,1.18,-0.77,-0.65
1747090563922,2025-05-12T22:56:03.922000,9.922,1.18,-0.77,-0.65
1747090563933,2025-05-12T22:56:03.933000,9.933,1.1,-0.98,-0.7
1747090563939,2025-05-12T22:56:03.939000,9.939,1.1,-0.98,-0.7
1747090563948,2025-05-12T22:56:03.948000,9.948,0.88,-0.91,-0.57
1747090563956,2025-05-12T22:56:03.956000,9.956,0.88,-0.91,-0.57
1747090563963,2025-05-12T22:56:03.963000,9.963,0.7,-0.61,-0.49
1747090563972,2025-05-12T22:56:03.972000,9.972,0.7,-0.61,-0.49
1747090563978,2025-05-12T22:56:03.978000,9.978,0.63,-0.0,-0.4
1747090563988,2025-05-12T22:56:03.988000,9.988,0.63,-0.0,-0.4
1747090563998,2025-05-12T22:56:03.998000,9.998,0.59,0.44,-0.24
1747090564006,2025-05-12T22:56:04.006000,10.006,0.59,0.44,-0.24
1747090564013,2025-05-12T22:56:04.013000,10.013,0.5,0.47,-0.12
1747090564023,2025-05-12T22:56:04.023000,10.023,0.5,0.47,-0.12
1747090564028,2025-05-12T22:56:04.028000,10.028,0.4,0.08,-0.1
1747090564039,2025-05-12T22:56:04.039000,10.039,0.4,0.08,-0.1
1747090564043,2025-05-12T22:56:04.043000,10.043,0.31,-0.43,-0.17
1747090564056,2025-05-12T22:56:04.056000,10.056,0.31,-0.43,-0.17
1747090564063,2025-05-12T22:56:04.063000,10.063,0.31,-0.74,-0.2
1747090564072,2025-05-12T22:56:04.072000,10.072,0.31,-0.74,-0.2
1747090564078,2025-05-12T22:56:04.078000,10.078,0.31,-0.45,-0.14
1747090564089,2025-05-12T22:56:04.089000,10.089,0.31,-0.45,-0.14
1747090564093,2025-05-12T22:56:04.093000,10.093,0.32,-0.0,-0.06
1747090564106,2025-05-12T22:56:04.106000,10.106,0.32,-0.0,-0.06
1747090564108,2025-05-12T22:56:04.108000,10.108,0.26,0.13,-0.13
1747090564123,2025-05-12T22:56:04.123000,10.123,0.26,0.13,-0.13
1747090564127,2025-05-12T22:56:04.127000,10.127,0.15,-0.12,-0.2
1747090564139,2025-05-12T22:56:04.139000,10.139,0.15,-0.12,-0.2
1747090564142,2025-05-12T22:56:04.142000,10.142,0.16,-0.37,-0.25
1747090564156,2025-05-12T22:56:04.156000,10.156,0.16,-0.37,-0.25
1747090564157,2025-05-12T22:56:04.157000,10.157,0.33,-0.53,-0.26
1747090564172,2025-05-12T22:56:04.172000,10.172,0.33,-0.53,-0.26
1747090564172,2025-05-12T22:56:04.172000,10.172,0.48,-0.53,-0.21
1747090564189,2025-05-12T22:56:04.189000,10.189,0.48,-0.53,-0.21
1747090564192,2025-05-12T22:56:04.192000,10.192,0.46,-0.58,-0.14
1747090564206,2025-05-12T22:56:04.206000,10.206,0.46,-0.58,-0.14
1747090564207,2025-05-12T22:56:04.207000,10.207,0.19,-0.71,-0.09
1747090564222,2025-05-12T22:56:04.222000,10.222,-0.06,-0.72,0.02
1747090564222,2025-05-12T22:56:04.222000,10.222,-0.06,-0.72,0.02
1747090564237,2025-05-12T22:56:04.237000,10.237,-0.04,-0.51,0.11
1747090564239,2025-05-12T22:56:04.239000,10.239,-0.04,-0.51,0.11
1747090564257,2025-05-12T22:56:04.257000,10.257,0.07,-0.34,0.01
1747090564272,2025-05-12T22:56:04.272000,10.272,0.17,-0.45,-0.05
1747090564272,2025-05-12T22:56:04.272000,10.272,0.17,-0.45,-0.05
1747090564287,2025-05-12T22:56:04.287000,10.287,0.28,-0.38,-0.01
1747090564289,2025-05-12T22:56:04.289000,10.289,0.28,-0.38,-0.01
1747090564301,2025-05-12T22:56:04.301000,10.301,0.32,-0.17,0.06
1747090564305,2025-05-12T22:56:04.305000,10.305,0.32,-0.17,0.06
1747090564321,2025-05-12T22:56:04.321000,10.321,-0.02,-0.13,-0.0
1747090564323,2025-05-12T22:56:04.323000,10.323,-0.02,-0.13,-0.0
1747090564336,2025-05-12T22:56:04.336000,10.336,-0.18,0.05,-0.1
1747090564339,2025-05-12T22:56:04.339000,10.339,-0.18,0.05,-0.1
