time,ax,ay,az,atotal
6.477,0.21,0.30,-1.00,1.07
6.487,0.21,0.21,-0.79,0.84
6.497,0.26,0.13,-0.61,0.67
6.507,0.32,0.07,-0.49,0.59
6.517,0.36,0.06,-0.44,0.57
6.527,0.34,0.09,-0.37,0.51
6.537,0.33,0.13,-0.12,0.37
6.547,0.31,0.16,0.23,0.42
6.557,0.33,0.17,0.38,0.53
6.567,0.45,0.17,0.32,0.58
6.577,0.63,0.10,0.10,0.64
6.587,0.78,0.01,-0.13,0.79
6.597,0.84,-0.04,-0.30,0.89
6.607,0.78,-0.11,-0.24,0.82
6.617,0.46,-0.12,0.05,0.47
6.627,-0.05,-0.05,0.49,0.49
6.636,-0.36,0.00,0.64,0.73
6.647,-0.10,0.04,0.44,0.45
6.656,0.50,0.10,0.25,0.56
6.667,0.79,0.12,0.23,0.83
6.676,0.55,0.04,0.34,0.65
6.686,0.08,-0.07,0.31,0.33
6.696,-0.08,-0.13,0.26,0.30
6.706,0.06,-0.08,0.20,0.22
6.716,0.22,0.03,0.10,0.24
6.726,0.18,0.10,-0.14,0.25
6.736,0.10,0.20,-0.40,0.46
6.746,0.12,0.31,-0.53,0.62
6.756,0.26,0.40,-0.56,0.73
6.766,0.36,0.46,-0.48,0.76
6.776,0.36,0.46,-0.27,0.64
6.786,0.37,0.39,-0.15,0.56
6.796,0.42,0.36,-0.08,0.56
6.806,0.48,0.35,0.09,0.60
6.816,0.46,0.32,0.23,0.60
6.826,0.32,0.23,0.30,0.49
6.836,0.20,0.15,0.32,0.41
6.845,0.19,0.06,0.25,0.32
6.855,0.24,-0.00,0.22,0.32
6.865,0.31,0.01,0.15,0.35
6.875,0.33,0.07,0.03,0.34
6.885,0.26,0.18,-0.01,0.31
6.895,0.18,0.25,0.01,0.31
6.905,0.12,0.27,0.10,0.31
6.915,0.10,0.19,0.13,0.26
6.925,0.09,0.08,0.05,0.13
6.935,0.08,-0.02,-0.04,0.09
6.945,0.09,-0.11,-0.08,0.17
6.955,0.12,-0.16,0.03,0.20
6.965,0.16,-0.13,0.19,0.28
6.975,0.12,-0.05,0.33,0.35
6.985,0.08,0.09,0.36,0.38
6.995,0.08,0.26,0.41,0.49
7.005,0.14,0.42,0.46,0.63
7.015,0.17,0.55,0.59,0.82
7.025,0.13,0.59,0.54,0.81
7.034,0.05,0.57,0.39,0.69
7.044,-0.04,0.47,0.29,0.55
7.054,-0.12,0.34,0.07,0.37
7.064,-0.16,0.23,-0.13,0.31
7.074,-0.13,0.13,-0.26,0.32
7.084,-0.08,0.03,-0.31,0.32
7.094,-0.03,-0.07,-0.44,0.44
7.104,0.02,-0.09,-0.50,0.51
7.114,0.12,-0.06,-0.41,0.43
7.124,0.20,-0.00,-0.32,0.38
7.134,0.22,0.02,-0.22,0.31
7.144,0.24,-0.03,-0.05,0.25
7.154,0.26,-0.14,0.02,0.30
7.164,0.26,-0.26,-0.01,0.36
7.174,0.24,-0.36,-0.01,0.43
7.184,0.19,-0.40,-0.11,0.46
7.194,0.13,-0.38,-0.30,0.50
7.204,0.10,-0.26,-0.44,0.52
7.214,0.09,-0.09,-0.57,0.58
7.224,0.02,0.04,-0.63,0.64
7.233,-0.06,0.10,-0.73,0.74
7.243,-0.10,0.12,-0.77,0.79
7.253,-0.04,0.12,-0.81,0.82
7.263,0.04,0.09,-0.82,0.82
7.273,0.09,0.04,-0.73,0.74
7.283,0.11,0.01,-0.59,0.60
7.293,0.18,-0.03,-0.41,0.45
7.303,0.23,-0.08,-0.38,0.45
7.313,0.26,-0.10,-0.31,0.41
7.323,0.27,-0.11,-0.28,0.41
7.333,0.28,-0.14,-0.33,0.46
7.343,0.20,-0.20,-0.32,0.43
7.353,0.13,-0.25,-0.18,0.34
7.363,0.08,-0.22,0.01,0.23
7.373,-0.01,-0.16,-0.20,0.26
7.383,-0.05,-0.10,-0.49,0.50
7.393,0.11,-0.09,-0.40,0.42
7.403,0.42,-0.13,0.03,0.44
7.413,0.68,-0.22,0.97,1.20
7.422,0.80,-0.30,1.65,1.86
7.432,0.71,-0.29,1.45,1.64
7.442,0.56,-0.16,0.82,1.01
7.452,0.47,0.06,0.22,0.53
7.462,0.45,0.27,-0.20,0.56
7.472,0.45,0.46,-0.50,0.81
7.482,0.41,0.60,-0.55,0.91
7.492,0.34,0.70,-0.51,0.93
7.502,0.31,0.75,-0.33,0.87
7.512,0.38,0.78,0.10,0.87
7.522,0.48,0.79,0.34,0.98
7.532,0.54,0.80,0.42,1.05
7.542,0.52,0.76,0.35,0.99
7.552,0.42,0.68,0.33,0.86
7.562,0.29,0.43,0.61,0.80
7.572,0.12,0.20,0.94,0.97
7.582,-0.21,0.04,0.74,0.77
7.592,-0.50,0.04,0.21,0.55
7.602,-0.69,0.13,-0.09,0.70
7.612,-0.76,0.18,-0.05,0.78
7.621,-0.66,0.22,-0.02,0.69
7.632,-0.50,0.21,0.12,0.56
7.641,-0.42,0.11,0.39,0.58
7.651,-0.37,0.08,0.69,0.78
7.661,-0.37,-0.02,0.98,1.05
7.671,-0.37,-0.18,1.31,1.38
7.681,-0.33,-0.31,1.44,1.51
7.691,-0.27,-0.41,1.08,1.18
7.701,-0.20,-0.43,0.35,0.59
7.711,0.00,-0.41,-0.34,0.53
7.721,0.30,-0.33,-0.60,0.75
7.731,0.53,-0.21,-0.49,0.75
7.741,0.71,-0.15,-0.25,0.77
7.751,0.81,-0.06,-0.02,0.82
7.761,0.78,0.04,-0.21,0.80
7.771,0.69,0.18,-0.20,0.74
7.781,0.61,0.26,0.20,0.70
7.791,0.55,0.28,0.05,0.62
7.801,0.54,0.24,-0.16,0.61
7.811,0.45,0.19,-0.15,0.51
7.821,0.34,0.14,-0.12,0.38
7.831,0.20,0.12,-0.25,0.34
7.840,0.08,0.11,-0.44,0.47
7.851,-0.09,0.10,-0.53,0.55
7.860,-0.26,0.10,-0.56,0.63
7.870,-0.30,0.07,-0.58,0.66
7.880,-0.25,-0.02,-0.31,0.40
7.890,-0.16,-0.15,0.16,0.27
7.900,-0.07,-0.24,0.37,0.45
7.910,-0.03,-0.26,0.27,0.38
7.920,-0.00,-0.22,0.12,0.25
7.930,-0.02,-0.14,0.00,0.14
7.940,-0.09,-0.05,-0.08,0.13
7.950,-0.17,0.02,-0.16,0.23
7.960,-0.26,0.04,-0.30,0.39
7.970,-0.32,0.03,-0.40,0.51
7.980,-0.29,-0.03,-0.34,0.45
7.990,-0.20,-0.10,0.03,0.22
8.000,-0.09,-0.18,0.49,0.53
8.009,0.01,-0.23,0.66,0.69
8.019,0.00,-0.24,0.42,0.48
8.030,-0.02,-0.19,0.16,0.25
8.039,-0.02,-0.11,0.00,0.11
8.050,-0.01,-0.06,-0.12,0.13
8.059,0.01,0.01,-0.12,0.12
8.069,-0.01,0.07,-0.13,0.15
8.079,-0.10,0.12,-0.21,0.26
8.089,-0.19,0.16,-0.15,0.29
8.099,-0.29,0.16,0.00,0.33
8.109,-0.47,0.17,-0.04,0.50
8.119,-0.56,0.16,-0.37,0.69
8.129,-0.50,0.12,-0.28,0.59
8.139,-0.40,0.06,-0.32,0.51
8.149,-0.30,-0.04,-0.25,0.39
8.159,-0.16,-0.12,0.21,0.29
8.169,-0.05,-0.16,0.53,0.56
8.179,0.01,-0.16,0.26,0.30
8.189,0.09,-0.13,-0.32,0.35
8.199,0.18,-0.09,-0.63,0.66
8.209,0.24,-0.05,-0.63,0.68
8.219,0.18,-0.02,-0.47,0.50
8.229,0.03,0.03,-0.26,0.27
8.239,0.05,-0.01,-0.09,0.10
8.248,0.09,-0.07,0.05,0.13
8.258,0.20,-0.13,0.14,0.28
8.268,0.31,-0.18,0.11,0.37
8.278,0.33,-0.21,-0.06,0.39
8.288,0.24,-0.23,-0.32,0.46
8.298,-0.00,-0.19,-0.49,0.53
8.308,-0.29,-0.13,-0.46,0.56
8.318,-0.34,-0.08,-0.25,0.43
8.328,-0.16,-0.03,0.08,0.18
8.338,0.07,-0.03,0.25,0.26
8.348,0.16,-0.05,0.11,0.20
8.358,0.12,-0.07,-0.16,0.21
8.368,0.06,-0.05,-0.45,0.45
8.378,0.11,-0.04,-0.47,0.49
8.388,0.34,-0.04,-0.31,0.46
8.398,0.63,-0.04,-0.11,0.64
8.408,0.79,-0.01,-0.12,0.80
8.417,0.75,-0.01,-0.24,0.79
8.428,0.60,-0.01,-0.29,0.67
8.438,0.45,-0.07,-0.30,0.55
8.448,0.35,-0.17,-0.27,0.47
8.457,0.39,-0.29,-0.24,0.54
8.467,0.46,-0.39,-0.20,0.64
8.477,0.47,-0.48,-0.08,0.68
8.487,0.49,-0.51,0.02,0.71
8.497,0.51,-0.51,-0.06,0.73
8.507,0.48,-0.48,-0.16,0.70
8.517,0.38,-0.45,-0.23,0.63
8.527,0.28,-0.41,-0.26,0.56
8.537,0.22,-0.38,-0.32,0.55
8.547,0.23,-0.32,-0.43,0.59
8.557,0.30,-0.26,-0.44,0.59
8.567,0.42,-0.24,-0.50,0.69
8.577,0.45,-0.20,-0.52,0.72
8.587,0.44,-0.17,-0.51,0.70
8.597,0.41,-0.13,-0.63,0.76
8.606,0.39,-0.07,-0.84,0.93
8.617,0.40,-0.01,-0.93,1.01
8.627,0.41,-0.00,-0.94,1.03
8.636,0.41,-0.06,-0.86,0.96
8.646,0.41,-0.16,-0.63,0.77
8.656,0.44,-0.23,-0.53,0.73
8.666,0.43,-0.25,-0.65,0.82
8.676,0.39,-0.19,-0.78,0.89
8.686,0.35,-0.05,-0.88,0.95
8.696,0.35,0.12,-0.97,1.04
8.706,0.33,0.26,-1.13,1.21
8.716,0.28,0.40,-1.35,1.43
8.726,0.25,0.56,-1.39,1.52
8.736,0.30,0.67,-1.35,1.54
8.746,0.35,0.75,-1.20,1.46
8.756,0.36,0.78,-1.08,1.38
8.766,0.28,0.78,-1.02,1.32
8.776,0.21,0.74,-1.10,1.34
8.786,0.20,0.65,-1.14,1.32
8.796,0.28,0.54,-1.17,1.32
8.806,0.35,0.42,-1.19,1.31
8.816,0.33,0.32,-1.21,1.29
8.826,0.23,0.26,-1.28,1.33
8.835,0.14,0.23,-1.35,1.38
8.845,0.09,0.27,-1.58,1.60
8.855,0.10,0.38,-1.78,1.82
8.865,0.05,0.44,-1.70,1.76
8.875,-0.11,0.49,-1.61,1.69
8.885,-0.26,0.49,-1.66,1.75
8.895,-0.32,0.39,-1.64,1.72
8.905,-0.18,0.27,-1.54,1.58
8.915,0.06,0.26,-1.52,1.54
8.925,0.35,0.34,-1.44,1.52
8.935,0.52,0.50,-1.35,1.53
8.945,0.53,0.67,-1.26,1.52
8.955,0.25,0.77,-1.29,1.52
8.965,-0.17,0.71,-1.59,1.75
8.975,-0.52,0.58,-1.89,2.04
8.985,-0.73,0.36,-2.18,2.33
8.995,-0.81,0.10,-2.32,2.46
9.005,-0.79,-0.15,-2.12,2.26
9.015,-0.87,-0.35,-1.48,1.75
9.025,-1.11,-0.50,-0.93,1.54
9.035,-1.28,-0.53,-0.66,1.53
9.044,-0.97,-0.42,-0.67,1.25
9.054,-0.05,-0.27,-0.87,0.91
9.064,1.07,-0.27,-1.06,1.53
9.074,1.92,-0.43,-1.08,2.24
9.084,2.32,-0.77,-1.10,2.68
9.094,2.03,-1.26,-1.39,2.77
9.104,1.13,-1.69,-1.81,2.72
9.114,0.33,-1.87,-2.10,2.83
9.124,-0.12,-1.76,-2.31,2.91
9.134,-0.06,-1.36,-2.25,2.63
9.144,0.07,-0.94,-2.00,2.21
9.154,0.23,-0.61,-1.49,1.63
9.164,0.58,-0.40,-0.94,1.17
9.174,0.82,-0.35,-0.75,1.16
9.184,0.73,-0.44,-0.71,1.11
9.193,0.58,-0.56,-0.66,1.04
9.204,0.41,-0.68,-0.52,0.95
9.213,0.25,-0.75,-0.39,0.88
9.223,0.14,-0.76,-0.57,0.96
9.234,0.07,-0.71,-0.87,1.12
9.243,0.10,-0.62,-1.09,1.26
9.253,0.19,-0.53,-1.13,1.26
9.263,0.17,-0.47,-0.87,1.00
9.273,0.04,-0.53,-0.74,0.91
9.283,-0.10,-0.74,-0.89,1.16
9.293,-0.01,-0.97,-1.95,2.18
9.303,0.40,-1.12,-2.46,2.73
9.313,1.02,-1.14,-2.33,2.79
9.323,1.39,-1.07,-2.57,3.11
9.333,1.51,-0.85,-2.33,2.91
9.343,1.70,-0.41,-1.89,2.58
9.353,2.00,0.10,-1.64,2.59
9.363,2.09,0.53,-1.53,2.64
9.373,1.99,0.98,-1.16,2.50
9.383,1.70,1.39,-0.59,2.28
9.393,1.24,1.60,0.30,2.05
9.403,0.67,1.64,5.90,6.16
9.413,-0.29,1.52,6.53,6.71
9.422,-0.60,1.19,3.05,3.33
9.432,0.19,1.38,3.22,3.51
9.442,1.12,1.70,3.17,3.77
9.452,1.24,1.25,2.39,2.97
9.462,0.87,0.66,1.40,1.78
9.472,0.44,0.61,1.32,1.51
9.482,0.06,0.59,1.95,2.03
9.492,-0.32,0.42,2.25,2.32
9.502,-0.46,0.29,2.50,2.56
9.512,-0.63,0.21,2.87,2.94
9.522,-0.78,0.07,3.10,3.19
9.532,-0.88,-0.02,2.81,2.95
9.542,-1.03,-0.05,2.67,2.86
9.552,-1.10,0.03,2.63,2.85
9.562,-1.05,0.20,2.33,2.57
9.572,-0.93,0.39,2.08,2.32
9.582,-0.85,0.57,1.98,2.23
9.592,-0.75,0.65,1.60,1.88
9.602,-0.71,0.51,1.35,1.61
9.611,-0.71,0.24,1.34,1.54
9.622,-0.67,-0.11,1.44,1.59
9.632,-0.55,-0.42,1.45,1.61
9.641,-0.40,-0.60,1.39,1.57
9.651,-0.21,-0.61,1.58,1.71
9.661,-0.08,-0.48,1.89,1.95
9.671,-0.03,-0.28,1.88,1.90
9.681,-0.03,-0.11,1.82,1.83
9.691,-0.04,0.06,1.93,1.94
9.701,-0.05,0.18,2.02,2.03
9.711,-0.02,0.26,2.25,2.26
9.721,0.01,0.30,2.88,2.90
9.731,0.09,0.32,3.52,3.53
9.741,0.15,0.24,3.70,3.71
9.751,0.18,0.08,3.84,3.85
9.761,0.21,-0.06,4.06,4.07
9.771,0.25,-0.17,4.27,4.28
9.781,0.27,-0.31,4.47,4.49
9.791,0.30,-0.46,4.70,4.73
9.801,0.32,-0.56,5.04,5.09
9.811,0.32,-0.68,4.97,5.03
9.821,0.29,-0.73,4.86,4.92
9.831,0.26,-0.73,4.82,4.88
9.840,0.25,-0.73,4.68,4.74
9.850,0.31,-0.75,4.68,4.75
9.860,0.44,-0.82,4.53,4.62
9.870,0.49,-0.90,4.40,4.52
9.880,0.52,-0.93,4.27,4.40
9.890,0.48,-0.89,3.90,4.02
9.900,0.29,-0.71,3.53,3.61
9.910,0.10,-0.42,3.17,3.20
9.920,0.03,-0.11,2.92,2.92
9.930,0.05,0.11,2.67,2.67
9.940,0.12,0.22,2.48,2.49
9.950,0.24,0.28,2.38,2.41
9.960,0.26,0.29,2.37,2.40
9.970,0.13,0.25,2.37,2.39
9.980,-0.02,0.18,2.29,2.30
9.990,-0.12,0.08,2.14,2.15
10.000,-0.05,-0.06,2.11,2.11
10.009,0.12,-0.24,1.91,1.93
10.019,0.27,-0.43,1.60,1.68
10.029,0.29,-0.61,1.46,1.61
10.039,0.24,-0.74,1.43,1.63
10.049,0.18,-0.84,1.45,1.69
10.059,0.18,-0.92,1.41,1.69
10.069,0.21,-1.04,1.21,1.60
10.079,0.27,-1.15,0.70,1.37
10.089,0.35,-1.22,-0.11,1.27
10.099,0.46,-1.19,-0.71,1.46
10.109,0.64,-1.03,-0.87,1.49
10.119,0.79,-0.72,-0.82,1.35
10.129,0.91,-0.32,-0.34,1.02
10.139,0.93,0.06,0.25,0.97
10.149,0.86,0.28,0.53,1.05
10.159,0.67,0.21,0.52,0.87
10.169,0.20,-0.06,0.16,0.26
10.179,-0.23,-0.31,-0.50,0.64
10.189,-0.46,-0.40,-1.16,1.31
10.199,-0.53,-0.25,-1.69,1.79
10.209,-0.39,0.08,-2.09,2.13
10.219,-0.17,0.43,-2.22,2.27
10.228,0.02,0.62,-2.25,2.34
10.238,0.04,0.64,-2.43,2.51
10.248,-0.01,0.54,-2.74,2.79
10.258,-0.07,0.46,-3.00,3.04
10.268,-0.04,0.39,-3.26,3.29
10.278,0.12,0.36,-3.38,3.40
10.288,0.32,0.36,-3.25,3.28
10.298,0.51,0.36,-3.14,3.20
10.308,0.56,0.32,-3.00,3.07
10.318,0.44,0.25,-2.85,2.90
10.328,0.12,0.22,-2.76,2.77
10.338,-0.24,0.24,-2.56,2.59
10.348,-0.47,0.24,-2.33,2.38
10.358,-0.54,0.22,-2.21,2.29
10.368,-0.46,0.20,-2.10,2.16
10.378,-0.20,0.21,-2.03,2.05
10.388,0.06,0.26,-2.14,2.15
10.398,0.25,0.37,-2.25,2.29
10.407,0.35,0.46,-2.16,2.23
10.418,0.30,0.47,-1.89,1.97
10.427,0.08,0.38,-1.63,1.68
10.437,-0.18,0.25,-1.68,1.71
10.447,-0.34,0.23,-1.95,2.00
10.457,-0.24,0.30,-1.95,1.99
10.467,0.08,0.45,-1.84,1.89
10.477,0.42,0.59,-1.88,2.02
10.487,0.59,0.71,-1.92,2.14
10.497,0.61,0.74,-1.93,2.15
10.507,0.49,0.73,-1.91,2.10
10.517,0.28,0.70,-1.90,2.04
10.527,0.11,0.63,-1.80,1.91
10.537,0.12,0.58,-1.59,1.70
10.547,0.22,0.50,-1.44,1.54
10.557,0.31,0.41,-1.40,1.49
10.567,0.40,0.26,-1.43,1.50
10.577,0.55,0.14,-1.49,1.59
10.587,0.72,0.09,-1.63,1.78
10.597,0.89,0.14,-1.64,1.87
10.606,0.92,0.26,-1.51,1.79
10.617,0.74,0.40,-1.32,1.56
10.626,0.54,0.50,-1.22,1.43
10.636,0.35,0.57,-1.09,1.28
10.646,0.24,0.62,-1.09,1.27
10.656,0.31,0.62,-1.13,1.33
10.666,0.50,0.59,-1.05,1.30
10.676,0.67,0.53,-0.86,1.21
10.686,0.73,0.46,-0.73,1.13
10.696,0.60,0.40,-0.65,0.97
10.706,0.35,0.34,-0.57,0.75
10.716,0.16,0.33,-0.57,0.68
10.726,0.06,0.38,-0.71,0.81
10.736,-0.01,0.49,-0.83,0.96
10.746,-0.04,0.63,-0.89,1.09
10.756,-0.07,0.78,-0.94,1.22
10.766,-0.12,0.87,-0.95,1.29
10.776,-0.19,0.92,-0.99,1.37
10.786,-0.28,0.89,-1.02,1.38
10.796,-0.34,0.83,-1.15,1.46
10.805,-0.32,0.73,-1.37,1.58
10.815,-0.23,0.60,-1.60,1.73
10.825,-0.07,0.39,-1.78,1.82
10.835,0.05,0.04,-1.81,1.81
10.845,0.09,-0.35,-1.88,1.92
10.855,0.10,-0.67,-2.13,2.24
10.865,0.19,-0.72,-2.36,2.48
10.875,0.19,-0.87,-2.52,2.67
10.885,0.21,-1.01,-3.00,3.17
10.895,0.28,-1.11,-3.69,3.87
10.905,0.41,-1.15,-4.33,4.50
10.915,0.53,-1.11,-4.36,4.53
10.925,0.53,-1.05,-3.91,4.08
10.935,0.39,-0.97,-3.79,3.93
10.945,0.19,-0.89,-3.98,4.09
10.955,0.07,-0.78,-4.22,4.30
10.965,0.02,-0.64,-4.09,4.14
10.975,0.03,-0.46,-3.95,3.97
10.985,0.11,-0.32,-3.75,3.77
10.994,0.19,-0.20,-3.61,3.62
11.005,0.20,-0.14,-3.68,3.68
11.014,0.23,-0.09,-3.57,3.58
11.024,0.28,-0.07,-3.63,3.64
11.034,0.36,-0.09,-3.62,3.64
11.044,0.38,-0.12,-3.27,3.30
11.054,0.36,-0.19,-3.16,3.18
11.064,0.28,-0.24,-3.11,3.13
11.074,0.11,-0.30,-2.85,2.87
11.084,-0.11,-0.27,-2.54,2.55
11.094,-0.35,-0.19,-2.15,2.18
11.104,-0.57,-0.06,-1.67,1.77
11.114,-0.81,0.03,-0.86,1.18
11.124,-1.02,0.13,0.20,1.05
11.134,-1.13,0.21,0.58,1.29
11.144,-1.15,0.23,0.46,1.26
11.154,-1.11,0.23,0.54,1.26
11.164,-0.98,0.20,0.62,1.18
11.174,-0.82,0.09,0.74,1.11
11.184,-0.59,-0.04,0.66,0.89
11.194,-0.29,-0.18,0.36,0.50
11.203,-0.00,-0.27,0.10,0.29
11.213,0.23,-0.27,-0.22,0.42
11.223,0.28,-0.25,-0.29,0.48
11.233,0.17,-0.22,-0.42,0.50
11.243,-0.06,-0.20,-0.60,0.63
11.253,-0.23,-0.18,-0.80,0.85
11.263,-0.32,-0.13,-0.94,1.00
11.273,-0.42,-0.09,-0.61,0.75
11.283,-0.55,-0.11,-0.30,0.64
11.293,-0.60,-0.15,-0.11,0.63
11.303,-0.64,-0.23,0.24,0.72
11.313,-0.61,-0.34,0.57,0.90
11.323,-0.51,-0.44,0.94,1.15
11.333,-0.42,-0.48,1.25,1.40
11.343,-0.38,-0.46,1.54,1.65
11.353,-0.44,-0.38,1.79,1.88
11.363,-0.56,-0.25,2.25,2.33
11.373,-0.60,-0.08,2.73,2.80
11.383,-0.49,0.08,2.88,2.92
11.392,-0.29,0.23,3.09,3.11
11.403,-0.14,0.39,3.26,3.29
11.412,-0.02,0.60,3.26,3.32
11.422,0.08,0.85,3.18,3.30
11.432,0.13,1.12,3.07,3.27
11.442,0.16,1.31,2.98,3.26
11.452,0.12,1.34,2.88,3.17
11.462,0.12,1.24,2.54,2.83
11.472,0.14,1.05,2.32,2.55
11.482,0.22,0.79,2.18,2.33
11.492,0.32,0.54,2.23,2.32
11.502,0.44,0.35,2.35,2.42
11.512,0.62,0.20,2.45,2.53
11.522,0.80,0.09,2.61,2.73
11.532,0.94,-0.02,2.85,3.00
11.542,1.01,-0.16,3.13,3.29
11.552,1.01,-0.35,3.21,3.38
11.562,0.96,-0.54,3.16,3.35
11.572,0.92,-0.69,3.16,3.37
11.582,0.91,-0.80,3.08,3.31
11.592,0.90,-0.85,2.98,3.22
11.602,0.92,-0.85,3.22,3.46
11.611,1.01,-0.82,4.69,4.87
11.621,1.11,-0.85,6.03,6.19
11.631,1.61,-0.82,5.34,5.64
11.641,2.34,-0.73,4.82,5.41
11.651,2.91,-0.74,4.31,5.25
11.661,2.83,-0.81,3.41,4.50
11.671,1.61,-0.79,2.91,3.42
11.681,0.43,-0.63,2.72,2.83
11.691,0.08,-0.44,2.75,2.78
11.701,0.16,-0.30,3.13,3.15
11.711,0.35,-0.25,3.02,3.05
11.721,0.34,-0.15,2.39,2.42
11.731,0.17,-0.01,2.14,2.15
11.741,-0.11,0.08,2.34,2.34
11.751,-0.32,0.14,2.40,2.42
11.761,-0.39,0.10,2.33,2.36
11.771,-0.40,-0.06,2.23,2.27
11.781,-0.36,-0.20,2.35,2.38
11.790,-0.21,-0.37,2.44,2.48
11.801,0.01,-0.54,2.14,2.21
11.810,0.12,-0.65,2.00,2.11
11.820,0.03,-0.70,2.23,2.34
11.830,-0.20,-0.69,2.45,2.55
11.840,-0.29,-0.62,2.36,2.46
11.850,-0.15,-0.47,2.25,2.30
11.860,0.16,-0.30,2.20,2.23
11.870,0.47,-0.16,1.94,2.00
11.880,0.74,-0.03,1.84,1.98
11.890,0.99,0.07,1.88,2.13
11.900,1.19,0.12,2.02,2.34
11.910,1.26,0.12,2.19,2.53
11.920,1.18,0.15,2.37,2.66
11.930,0.97,0.11,2.53,2.71
11.940,0.82,0.05,2.83,2.94
11.950,0.72,-0.03,2.94,3.03
11.960,0.54,-0.09,2.79,2.84
11.970,0.27,-0.23,2.56,2.59
11.980,0.00,-0.36,2.18,2.21
11.989,-0.17,-0.42,1.65,1.71
11.999,-0.20,-0.35,1.14,1.21
12.009,-0.09,-0.16,0.62,0.65
12.019,0.17,0.14,0.26,0.34
12.029,0.54,0.34,0.02,0.64
12.039,0.82,0.29,-0.12,0.88
12.049,0.91,0.01,-0.11,0.92
12.059,0.69,-0.45,-0.20,0.85
12.069,0.18,-0.91,-0.25,0.96
12.079,-0.30,-1.12,-0.11,1.17
12.089,-0.41,-1.04,-0.36,1.18
12.099,-0.06,-0.76,-0.87,1.15
12.109,0.45,-0.38,-1.11,1.25
12.119,0.78,-0.10,-1.31,1.53
12.129,0.88,-0.02,-1.51,1.74
12.139,0.78,-0.12,-1.55,1.74
12.149,0.56,-0.33,-1.33,1.48
12.159,0.34,-0.50,-1.06,1.23
12.169,0.25,-0.55,-0.96,1.13
12.179,0.28,-0.42,-0.97,1.09
12.189,0.39,-0.20,-0.90,1.00
12.198,0.44,-0.01,-0.74,0.86
12.209,0.29,0.03,-0.54,0.61
12.218,0.03,-0.11,-0.34,0.36
12.228,-0.31,-0.35,-0.38,0.60
12.238,-0.56,-0.39,-0.53,0.86
12.248,-0.69,-0.13,-0.72,1.00
12.258,-0.66,0.27,-0.91,1.15
12.268,-0.56,0.67,-0.78,1.17
12.278,-0.44,0.95,-0.44,1.14
12.288,-0.40,1.02,-0.19,1.11
12.298,-0.50,0.87,-0.05,1.00
12.308,-0.72,0.59,0.07,0.93
12.318,-0.96,0.27,0.04,0.99
12.328,-1.14,0.01,-0.44,1.22
12.338,-1.19,-0.11,-1.08,1.61
12.348,-1.16,-0.12,-1.58,1.96
12.358,-1.04,-0.03,-2.00,2.26
12.368,-0.78,0.04,-2.33,2.46
12.378,-0.43,0.08,-2.50,2.54
12.387,-0.15,0.07,-2.76,2.77
12.397,0.05,0.09,-3.03,3.03
12.407,0.21,0.08,-3.04,3.05
12.417,0.32,0.09,-2.74,2.76
12.427,0.36,0.02,-2.27,2.30
12.437,0.33,-0.17,-1.99,2.02
12.447,0.21,-0.44,-2.07,2.13
12.457,0.15,-0.66,-2.28,2.38
12.467,0.16,-0.79,-2.28,2.42
12.477,0.20,-0.84,-2.20,2.36
12.487,0.15,-0.80,-2.24,2.38
12.497,-0.06,-0.68,-2.09,2.20
12.507,-0.45,-0.52,-1.92,2.04
12.517,-0.76,-0.32,-1.47,1.69
12.527,-0.87,-0.10,-0.63,1.07
12.537,-0.77,0.03,-1.05,1.30
12.547,-0.49,0.15,-1.70,1.78
12.557,-0.19,0.31,-1.82,1.86
12.567,0.02,0.39,-2.00,2.03
12.577,-0.02,0.28,-2.40,2.41
12.587,-0.02,0.20,-2.63,2.64
12.597,-0.00,0.21,-2.52,2.53
12.607,0.00,0.22,-2.17,2.18
12.617,-0.09,0.22,-2.08,2.09
12.626,-0.23,0.20,-1.99,2.02
12.636,-0.33,0.23,-1.81,1.86
12.646,-0.38,0.24,-1.63,1.69
12.656,-0.37,0.23,-1.41,1.48
12.666,-0.33,0.20,-1.25,1.30
12.676,-0.28,0.15,-1.17,1.21
12.686,-0.20,0.09,-1.04,1.06
12.696,-0.13,-0.01,-0.92,0.93
12.706,-0.02,-0.06,-0.90,0.90
12.716,0.04,-0.07,-0.85,0.86
12.726,0.08,-0.05,-0.85,0.85
12.736,0.10,-0.02,-0.80,0.81
12.746,0.10,0.02,-0.77,0.77
12.756,0.06,0.07,-0.81,0.82
12.766,0.07,0.08,-0.87,0.87
12.776,0.12,0.08,-0.97,0.98
12.786,0.15,0.08,-0.99,1.00
12.795,0.15,0.05,-0.91,0.93
12.806,0.20,-0.00,-0.95,0.97
12.815,0.26,-0.09,-1.03,1.06
12.825,0.39,-0.10,-1.01,1.09
12.835,0.53,-0.12,-0.89,1.04
12.845,0.65,-0.11,-0.78,1.02
12.855,0.71,-0.08,-0.61,0.94
12.865,0.73,-0.03,-0.59,0.94
12.875,0.71,0.07,-0.57,0.91
12.885,0.61,0.18,-0.61,0.88
12.895,0.47,0.25,-0.39,0.66
12.905,0.36,0.29,-0.15,0.48
12.915,0.28,0.28,-0.18,0.43
12.925,0.16,0.25,-0.36,0.46
12.935,0.07,0.17,-0.30,0.36
12.945,0.02,0.11,-0.19,0.23
